done	part of speech	phonemes	romanisation	definition	keywords	tags	gloss
TRUE	verb (impersonal)	ãː.dɾa	áadra	it be busy, it be hectic, there be activity	busy, hectic, active, activity		
TRUE	noun (inanimate)	aːs	aas	the phoneme /aː/ and the matching letter	/aː/, aa		
TRUE	noun (inanimate)	ãːɕ	áax	the phoneme /ãː/ and the matching letter	/ãː/, áa		
TRUE	adjective	a.‍ca	a‍ca	colour that contains yellowish, green and cyan light but not much infrared, "cold white"	cold, white, cold white	colour	
TRUE	noun (inanimate)	a.cẽ‍	acé‍	state, status, condition, way to be	state, status, condition, way		
TRUE	noun (animate)	a.dew	adeu	mother (or sole parent, for species that only have one)	mother, parent	family	
TRUE	noun (inanimate)	a.diː.nø	adiino	splinter, shard, tapered hard piece; needle; nail, pin, staple, carpentry joint fastener	splinter, shard, needle, nail, staple, fastener	objects	
TRUE	verb (transitive)	a.hajɾ	ahair	attack, hunt, prey on (note: used to have the connotations of "natural disaster", now technical term far from daily life)	attack, hunt, prey	animals	
TRUE	verb (transitive)	aj.ɸi	aifi	love, care (prototype: as an equal; experiencer is cared for, agent makes the effort)	love, care	social	
TRUE	noun (inanimate)	al	al	the phoneme /a/ and the matching letter	/a/, a		
TRUE	noun (inanimate)	ãʎ	áll	the phoneme /ã/ and the matching letter	/ã/, á		
TRUE	adverb	a.ɲce	ance	enough, sufficiently	enough, sufficiently		
TRUE	noun (inanimate)	aɾ.ca	arca	basin, area between watersheds; fringe, wilderness; sphere of influence, orbit (gravitational centre takes ablative case, orbiting body takes inalienable case)	basin, watershed, fringe, wilderness, influence, orbit	nature, science	
TRUE	interjection	a.ɾyː	aruu	yes, correct, agreed (someone stated something and I endorse the statement, meaning I agree with any negatives too)	yes, correct, agree		
TRUE	adjective	aɾ.we	arwe	perfect, ideal, easily simplified without losing information	perfect, ideal		
TRUE	noun (animate)	as.jøː	asjoo	Nomai equivalent to mammal: any being that inherited the same bone arrangement and body plan, most with hooves	mammal	animals	
TRUE	verb (transitive)	a.sø	aso	need, require, demand, {experiencer} be necessary for {agent}	need, require, demand, necessary		
TRUE	verb (transitive)	ãwɾ	áur	remember, apply knowledge of	remember, memory		
TRUE	noun (inanimate)	aw.te	aute	inventory, totality of items someone is holding or has access to; (archaic) shoulder-wool; (idiomatic) physically felt emotions, "bones", core of someone's being	inventory, hold, item, access, emotions, core, soul		
TRUE	verb (intransitive)	a.ʙẽ.cẽ	avécé	zip, shoot, streak, go quickly; rush, hurry, head straight (towards somewhere)	zip, shoot, streak, quickly, fast, rush, hurry, straight, directly		
TRUE	noun (inanimate)	ã.wẽʎ	áwéll	electricity, electric charge (note: sign convention is opposite the human one, electrons are positive)	electricity, charge, electron	science	
TRUE	noun (animate)	a.ɕa.ci ɾi.ʙəː.ʙyː.mã	axaci rivyyvuumá	the Statue Workshop	statue workshop		
TRUE	noun (animate)	a.ɕaj	axai	workshop, manufacturing plant	workshop, manufacture, factory		
TRUE	noun (inanimate)	ba	ba	centre, middle, place surrounded by	centre, center, middle, surround		
TRUE	pronoun	bã	bá	he, she, it, the one the narrative is about, 3S.PROX, third-person proximate animate singular pronoun	he, she, it		
TRUE	adjective	bãː.by	báabu	medium amount, average few-many	much, little, medium, amount		
TRUE	verb (transitive)	ba.ce	bace	support, prop up, hold under compression	support, prop, hold		
TRUE	verb (transitive)	bãɸ	báf	throw, toss, drop, put in freefall by letting go of	throw, toss, drop, let go		
TRUE	noun (inanimate)	baɸ.ɲẽ	bafnné	hill, mound, meadow (usually very low and smooth)	hill, mound, meadow	nature	
TRUE	verb (transitive)	bãj	bái	interest, stimulate, be neat to	interest, neat		
TRUE	adjective	ba.me	bame	strict, strong (of conjecture), which makes claims about many situations; limiting, picky	strict, strong, limiting, picky	science	
TRUE	verb (transitive)	bã.ɾe	báre	smith, forge, industrially manufacture, create with heavy machinery	smith, forge, manufacture, produce		
TRUE	noun (inanimate)	bã.ɾe.cãwɾ	bárecáur	smithy, forge, machinery workshop	smithy, forge, workshop		
TRUE	noun (inanimate)	bã.ɾe.cãw.ɾi dəː.lil.di ti.ɬə̃ɾ	bárecáuri dyylildi tihlýr	the Black Hole Forge	black hole forge		
TRUE	noun (inanimate)	ba.saw	basau	floor, pavement, manufactured surface to stand on	floor, pavement		
TRUE	noun (inanimate)	bã.sẽj	báséi	text, writing, instance of written language, written work, composition	text, write, writing	language	
TRUE	adjective	baw	bau	new, recent, discovered or assigned to its role a short time ago	new, recent		
TRUE	pronoun	bã.wã	báwá	those two, the two of them, the two people or animals the narrative is about, 3D.PROX, third-person proximate animate dual pronoun	they, them, two		
TRUE	noun (inanimate)	be	be	wool, undercoat, short hair	wool, hair	body	
TRUE	noun (inanimate)	bẽ.cy	bécu	bridge, deck, any suspended floor	bridge, deck		
TRUE	verb (transitive)	bẽː	bée	eat, consume, ingest; prototype: chew on loose dried hay	eat, consume, ingest, chew	body	eat
TRUE	noun (inanimate)	beɬ.biː	behlbii	a type of plant with unusually sweet young leaves and a sugary root; (name) Mallow	mallow	names, plants	
TRUE	adjective	bel.we	belwe	distant, far-off, absent	distant, far, absent, distance		
TRUE	verb (transitive)	bẽ.pi	bépi	channel, constrain, narrow down onto a limited path (what a mountain pass does to a herd)	channel, constrain, narrow		
TRUE	noun (inanimate)	bẽ.pil	bépil	cannon, launcher, (rail, magnetic, or gravity) gun	cannon, launcher, gun	tools	
TRUE	noun (inanimate)	bẽ.pil pø.ʙas.cẽ	bépil povascé	gravity cannon	gravity cannon		
TRUE	noun (inanimate)	bẽ.pi.li ʎa.wa.ʙyː.mã	bépili llawavuumá	the Orbital Probe Cannon	orbital probe cannon		
TRUE	conjunction (clause)	beɾ	ber	so, therefore, as a result, A implies B	so, therefore, result, implies, imply		
TRUE	verb (intransitive)	bẽ.sy.ma	bésuma	(archaic) grow grass, become grass or grassy; (modern) perish, pass away, literary euphemism for dying	perish, pass away, pass, die		
TRUE	verb (transitive)	bẽ.tøːɸ	bétoof	satisfy, ease, make content	satisfy, satisfying, ease, content, happy		
TRUE	adjective	bi.høs	bihos	customised, fitted, dedicated, assigned, personal, private (most clothes, tools and such are interchangeable between Nomai)	customised, fitted, dedicated, personal, private		
TRUE	noun (inanimate)	biː	bii	the phoneme /b/ and the matching letter	/b/, b	letters	
TRUE	noun (inanimate)	bi.məj	bimyi	clause (unit of grammar); claim, proposition	clause, claim, proposition, sentence	language	
TRUE	conjunction (clause)	bi.ɕø	bixo	but then later, A and subsequently in contrast B	but later		
TRUE	interjection	bjaɸ	bjaf	(onomatopoeia) sudden, periodic, low-pitched sound: bark, hoot	bark, hoot		
TRUE	noun (inanimate)	bjãw	bjáu	cellulose, edible bulk of green plants; staple macronutrient, the normal thing to eat a lot of (compare bread in English or rice in Chinese)	cellulose		
TRUE	verb (transitive)	bjẽː	bjée	test, experiment on, do things to and record what happens ("testing someone" is a friendly interaction of bouncing ideas off them)	test, experiment	science	
TRUE	noun (inanimate)	bjyː	bjuu	rule, contract, social agreement (especially temporary one for a dangerous test or expedition); (as observer, forms strict commands) bjuux pé 'jump!'	rule, contract, agreement	social	
TRUE	noun (inanimate)	bjəl.caj	bjylcai	sickle, scythe, machete, sweeping bladed tool for cutting grass or crops; (alien studies) sword, bladed weapon	sickle, scythe, machete, sword		
TRUE	noun (inanimate)	bø̃.dew	bódeu	a type of wide bush with large strong-scented flowers, (name) Conoy	conoy	names, plants	
TRUE	verb (transitive)	bø.dø̃l	bodól	teach, train, educate, guide into learning	teach, train, educate		
TRUE	noun (inanimate)	bø.dø̃.lal	bodólal	textbook, guidebook, manual, learning resource	textbook, guidebook, manual		
TRUE	adjective	bøɾ	bor	wet, touched by liquid water	wet		
TRUE	adjective	bø.waɾ	bowar	strong, tough, durable, robust, resistant	strong, tough, durable, robust		
TRUE	noun (animate)	bø.ɕi	boxi	uncle (brother of a parent)	uncle		
TRUE	noun (inanimate)	bɾaːl	braal	titanium (element)	titanium	materials	
TRUE	noun (inanimate)	bɾaː.sa	braasa	(archaic) walled village, fort; (modern) bulkhead, airtight internal division; district, neighbourhood, city block	district, module, bulkhead, block, neighbourhood		
TRUE	determiner	bɾãj	brái	other, separate, different, distinct	other, separate, different, distinct		
TRUE	noun (inanimate)	bɾẽːj	bréei	patch, cluster, area defined by uniformity in plant species and growth stage; island in liquid; plate of planetary crust	patch, cluster, island, tectonic plate		
TRUE	verb (intransitive)	bɾeɸ	bref	end up, go inadvertently, find oneself (somewhere or doing something); evolve, develop	end up, inadvertently, find oneself, evolve, develop		
TRUE	verb (transitive)	bɾe.ɬi	brehli	(of pouch or similar) invert, flip, turn inside out, cause to curve the other way; toggle, move between low-energy states	invert, flip, turn, inside out, toggle, snap		
TRUE	conjunction (phrase)	bɾy	bru	and also, and so, and as expected, so naturally (positively correlated)	so, also, and		
TRUE	noun (inanimate)	bɾə̃ɕ.ta	brýxta	Bryn'chta berry (large crimson berry from a small bitter bush, with a toxic surface, becoming safe and very sweet when boiled, used in tea and liquor - word and definition courtesy of mitsymarcella and kravenergeist on Discord)	bryn'chta berry, bryn'chta, berry	food	
TRUE	noun (inanimate)	bsãː	bsáa	version, variant, subtype, iteration; isotope	version, variant, subtype, iteration, isotope		
